firstname,lastname,addressline1,addressline2,city,comment,email,itemnumber,,phone,state,zipcode,description
ajit,sharma,29 rodney street,albany,auckland,test csv comment,ajit@ajti.com,1,,1111111111,AL,111111, Description1
ajit1,sharma2,30 rodney street,albany1,auckland,test csv comment,ajit@ajti.com,2,,1111111112,AL,111112, Description2
ajit,sharma,31 rodney street,albany,auckland,test csv comment,ajit@ajti.com,3,,1111111113,AL,111113,Description3
ajit2,sharma3,32 rodney street,albany2,auckland,test csv comment,ajit@ajti.com,4,,1111111114,AL,111114, Description4
ajit,sharma,33 rodney street,albany,auckland,test csv comment,ajit@ajti.com,5,,1111111115,AL,111115, Description5
ajit3,sharma4,34 rodney street,albany3,auckland,test csv comment,ajit@ajti.com,6,,1111111116,AL,111116,Description6
ajit,sharma,35 rodney street,albany,auckland,test csv comment,ajit@ajti.com,7,,1111111117,AL,111117,Description7
ajit4,sharma5,36 rodney street,albany4,auckland,test csv comment,ajit@ajti.com,8,,1111111118,AL,111118,Description8
ajit,sharma,37 rodney street,albany,auckland,test csv comment,ajit@ajti.com,9,,1111111119,AL,111119,Description9
ajit5,sharma6,38 rodney street,albany5,auckland,test csv comment,ajit@ajti.com,10,,1111111120,AL,111120,Description10
